"","Months","Average precipitation days (≥ 0.01 in)","Average precipitation inches (mm)","Average relative humidity (%)","Average snowfall inches (cm)","Average snowy days (≥ 0.1 in)","Mean monthly sunshine hours","Percent possible sunshine","Average high  Celsius","Average high  Fahrenh","Average low  Celsius","Average low  Fahrenh","Daily mean  Celsius","Daily mean  Fahrenh","Mean maximum  Celsius","Mean maximum  Fahrenh","Mean minimum  Celsius","Mean minimum  Fahrenh","Record high  Celsius","Record high  Fahrenh","Record low  Celsius","Record low  Fahrenh"
"1","Jan","12.8","2.59(66)","71.1","17.9(45)","10.3","141.1","48","-0.8","30.6","-9.7","14.5","-5.2","22.6","11.6","52.8","-21.7","-7.1","22","71","-33","-28"
"2","Feb","10.4","2.20(56)","68.5","12.2(31)","7.6","158.5","54","1.4","34.6","-8.2","17.3","-3.4","25.9","11.9","53.5","-19.3","-2.8","23","74","-30","-22"
"3","Mar","12.1","3.21(82)","64.8","11.0(28)","5.6","200.3","54","6.9","44.4","-3.5","25.7","1.7","35.0","20.1","68.2","-14.2","6.5","32","89","-29","-21"
"4","Apr","11.9","3.17(81)","61.2","2.3(5.8)","1.2","218.9","54","14.6","58.3","2.9","37.3","8.8","47.8","27.6","81.6","-4.9","23.2","34","93","-13","9"
"5","May","13.1","3.61(92)","65.5","0.1(0.25)","0.1","248.9","55","20.8","69.4","8.4","47.1","14.6","58.3","30.4","86.7","0.4","32.7","36","97","-3","26"
"6","Jun","12.2","3.79(96)","69.5","0(0)","0","262.2","57","25.5","77.9","13.6","56.5","19.6","67.2","32.8","91.1","5.6","42.0","38","100","2","35"
"7","Jul","10.8","4.12(105)","70.5","0(0)","0","289.2","62","27.9","82.3","16.3","61.4","22.1","71.8","33.5","92.3","9.7","49.5","40","104","4","40"
"8","Aug","10.7","3.46(88)","74.1","0(0)","0","253.2","59","26.9","80.4","15.5","59.9","21.2","70.1","32.9","91.2","8.1","46.5","39","102","1","34"
"9","Sep","9.8","3.30(84)","75.7","0(0)","0","210.5","56","22.3","72.2","10.9","51.6","16.6","61.9","30.0","86.0","2.3","36.1","38","100","-4","24"
"10","Oct","10.4","3.68(93)","72.4","0.3(0.76)","0.1","168.8","49","15.4","59.8","4.2","39.6","9.8","49.7","24.9","76.8","-3.4","25.8","33","91","-9","16"
"11","Nov","11.7","3.29(84)","73.1","2.8(7.1)","2.5","100.7","34","8.8","47.9","-0.3","31.5","4.3","39.7","20.1","68.1","-8.9","15.9","28","82","-24","-11"
"12","Dec","11.9","2.93(74)","73.9","13.7(35)","7.4","108.3","38","2.1","35.8","-6.0","21.2","-1.9","28.5","12.7","54.8","-16.9","1.6","22","72","-30","-22"
